,dataTransacao,valorTransacao,unidade_gestora_nome,orgaoVinculado.nome
8,2021-08-31,77.6,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
19,2021-09-21,1400.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
13,2021-09-28,99.75,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
27,2021-10-06,152.8,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
18,2021-11-09,41.4,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
17,2021-11-09,68.4,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
16,2021-11-16,1363.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
15,2021-11-16,537.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
14,2021-11-16,419.88,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
12,2021-11-17,1700.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
11,2021-11-17,144.98,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
0,2022-04-02,745.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
3,2022-04-05,57.63,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
2,2022-04-05,145.75,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
1,2022-04-06,420.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
