,dataTransacao,valorTransacao
0,2021-08-31,77.6
1,2021-09-21,1400.0
2,2021-09-28,99.75
3,2021-10-06,152.8
4,2021-11-09,109.80000000000001
5,2021-11-16,2319.88
6,2021-11-17,1844.98
7,2022-04-02,745.0
8,2022-04-05,203.38
9,2022-04-06,420.0
10,2022-04-08,325.0
11,2022-04-12,415.98
12,2022-04-13,1400.0
13,2022-04-19,921.5
14,2022-04-20,700.0
15,2022-04-29,3588.0
16,2022-05-02,600.0
17,2022-05-05,470.0
18,2022-05-11,137.32
19,2022-07-20,178.0
20,2022-11-01,155.98
21,2023-02-23,250.0
22,2023-03-02,1856.5700000000002
23,2023-03-23,282.9
24,2023-03-28,1120.0
25,2023-03-29,534.95
26,2023-03-31,314.3
27,2023-04-03,290.0
28,2023-04-10,1760.0
29,2023-04-25,1080.0
30,2023-04-28,1760.0
31,2023-05-09,106.38
32,2023-05-11,125.0
33,2023-05-12,42.9
34,2023-08-25,5.0
35,2023-08-26,489.2
36,2023-08-29,2912.8599999999997
37,2023-08-30,477.01
38,2023-08-31,719.72
39,2023-10-24,107.0
40,2023-10-30,180.0
41,2023-11-14,650.0
42,2023-11-28,1691.5
43,2024-02-09,10.5
44,2024-02-27,130.0
45,2024-03-01,300.0
46,2024-03-04,210.0
47,2024-03-14,271.9
48,2024-05-15,457.0
49,2024-05-20,1035.0
50,2024-05-21,597.6
51,2024-06-18,116.0
52,2024-08-14,1697.3
53,2024-08-19,200.0
54,2024-09-04,1156.88
55,2024-09-24,1700.0
56,2024-10-03,49.9
57,2024-10-09,81.6
58,2025-02-20,1100.0
59,2025-07-09,6.0
60,2025-07-19,183.61
61,2025-09-04,5846.0
62,2025-10-21,3173.6
63,2025-11-06,1090.0
64,2025-11-11,2.95
65,2025-11-12,300.0
66,2025-11-17,684.0
67,2025-11-18,876.18
68,2025-12-04,1934.6100000000001
69,2026-02-23,13.9
70,2026-02-25,63.9
71,2026-02-26,20.0
72,2026-03-03,292.0
73,2026-03-05,3694.4
74,2026-03-06,654.54
75,2026-03-07,1011.1
76,2026-03-09,733.9200000000001
77,2026-03-10,572.0
78,2026-03-12,1386.26
79,2026-03-17,824.7
80,2026-03-18,2174.91
81,2026-04-02,549.64
82,2026-04-04,723.1700000000001
83,2026-04-06,492.73
84,2026-04-07,1156.58
85,2026-04-10,339.59
86,2026-04-11,54.35
87,2026-04-14,676.0
88,2026-05-06,375.0
