dataTransacao,valorTransacao,orgao_max_nome_en
2021-08-31,77.6,Ministry of Education
2021-09-21,1400.0,Ministry of Education
2021-09-28,99.75,Ministry of Education
2021-10-06,152.8,Ministry of Education
2021-11-09,41.4,Ministry of Education
2021-11-09,68.4,Ministry of Education
2021-11-16,1363.0,Ministry of Education
2021-11-16,537.0,Ministry of Education
2021-11-16,419.88,Ministry of Education
2021-11-17,1700.0,Ministry of Education
2021-11-17,144.98,Ministry of Education
2022-04-02,745.0,Ministry of Education
2022-04-05,57.63,Ministry of Education
2022-04-05,145.75,Ministry of Education
2022-04-06,420.0,Ministry of Education
2022-04-08,325.0,Ministry of Education
2022-04-12,415.98,Ministry of Human Rights and Citizenship
2022-04-13,1400.0,Ministry of Education
2022-04-19,94.0,Ministry of Education
2022-04-19,625.0,Ministry of Education
2022-04-19,202.5,Ministry of Education
2022-04-20,700.0,Ministry of Education
2022-04-29,600.0,Ministry of Education
2022-04-29,800.0,Ministry of Education
2022-04-29,2188.0,Ministry of Education
2022-05-02,600.0,Ministry of Education
2022-05-05,470.0,Ministry of Education
2022-05-11,137.32,Ministry of Human Rights and Citizenship
2022-07-20,178.0,Ministry of Education
2022-11-01,155.98,Ministry of Human Rights and Citizenship
2023-02-23,250.0,Ministry of Education
2023-03-02,837.09,Ministry of Education
2023-03-02,1019.48,Ministry of Education
2023-03-23,282.9,Ministry of Education
2023-03-28,120.0,Ministry of Education
2023-03-28,1000.0,Ministry of Education
2023-03-29,534.95,Ministry of Education
2023-03-31,314.3,Ministry of Education
2023-04-03,290.0,Ministry of Education
2023-04-10,1760.0,Ministry of Education
2023-04-25,1080.0,Ministry of Education
2023-04-28,1760.0,Ministry of Education
2023-05-09,106.38,Ministry of Education
2023-05-11,125.0,Ministry of Education
2023-05-12,42.9,Ministry of Education
2023-08-25,5.0,Ministry of Defense
2023-08-26,489.2,Ministry of Defense
2023-08-29,1122.86,Ministry of Defense
2023-08-29,1110.0,Ministry of Defense
2023-08-29,680.0,Ministry of Defense
2023-08-30,275.01,Ministry of Defense
2023-08-30,180.0,Ministry of Defense
2023-08-30,22.0,Ministry of Defense
2023-08-31,142.0,Ministry of Defense
2023-08-31,577.72,Ministry of Defense
2023-10-24,107.0,Ministry of Education
2023-10-30,180.0,Ministry of Education
2023-11-14,650.0,Ministry of Education
2023-11-28,190.0,Ministry of Education
2023-11-28,190.0,Ministry of Education
2023-11-28,190.0,Ministry of Education
2023-11-28,1121.5,Ministry of Education
2024-02-09,10.5,Ministry of Education
2024-02-27,130.0,Ministry of Education
2024-03-01,300.0,Ministry of Education
2024-03-04,130.0,Ministry of Education
2024-03-04,80.0,Ministry of Education
2024-03-14,222.0,Ministry of Education
2024-03-14,49.9,Ministry of Education
2024-05-15,457.0,Ministry of Education
2024-05-20,591.0,Ministry of Education
2024-05-20,444.0,Ministry of Education
2024-05-21,597.6,Ministry of Education
2024-06-18,116.0,Ministry of Education
2024-08-14,1697.3,Ministry of Culture
2024-08-19,200.0,Ministry of Culture
2024-09-04,72.7,Ministry of Culture
2024-09-04,430.0,Ministry of Culture
2024-09-04,367.18,Ministry of Culture
2024-09-04,287.0,Ministry of Culture
2024-09-24,1700.0,Ministry of Culture
2024-10-03,49.9,Ministry of Culture
2024-10-09,81.6,Ministry of Culture
2025-02-20,1100.0,Ministry of Culture
2025-07-09,6.0,Ministry of Defense
2025-07-19,183.61,Ministry of Defense
2025-09-04,2046.0,Ministry of Education
2025-09-04,3400.0,Ministry of Education
2025-09-04,400.0,Ministry of Education
2025-10-21,2800.0,Ministry of Education
2025-10-21,373.6,Ministry of Education
2025-11-06,380.0,Ministry of Labor and Employment
2025-11-06,710.0,Ministry of Labor and Employment
2025-11-11,1.33,Ministry of Defense
2025-11-11,1.62,Ministry of Education
2025-11-12,300.0,Ministry of Labor and Employment
2025-11-17,684.0,Ministry of Labor and Employment
2025-11-18,876.18,Ministry of Labor and Employment
2025-12-04,193.02,Ministry of Culture
2025-12-04,117.41,Ministry of Culture
2025-12-04,119.18,Ministry of Culture
2025-12-04,1505.0,Ministry of Culture
2026-02-23,13.9,Ministry of Education
2026-02-25,63.9,Ministry of Education
2026-02-26,20.0,Ministry of Education
2026-03-03,292.0,Ministry of Education
2026-03-05,2500.0,Ministry of Education
2026-03-05,1194.4,Ministry of Education
2026-03-06,469.94,Ministry of Education
2026-03-06,184.6,Ministry of Education
2026-03-07,65.0,Ministry of Education
2026-03-07,60.0,Ministry of Education
2026-03-07,453.6,Ministry of Education
2026-03-07,432.5,Ministry of Education
2026-03-09,453.92,Ministry of Education
2026-03-09,280.0,Ministry of Education
2026-03-10,290.0,Ministry of Education
2026-03-10,282.0,Ministry of Education
2026-03-12,190.0,Ministry of Education
2026-03-12,217.6,Ministry of Education
2026-03-12,978.66,Ministry of Education
2026-03-17,824.7,Ministry of Education
2026-03-18,404.91,Ministry of Education
2026-03-18,1770.0,Ministry of Education
2026-04-02,68.97,Ministry of Education
2026-04-02,480.67,Ministry of Education
2026-04-04,98.59,Ministry of Education
2026-04-04,130.53,Ministry of Education
2026-04-04,177.7,Ministry of Education
2026-04-04,236.55,Ministry of Education
2026-04-04,79.8,Ministry of Education
2026-04-06,492.73,Ministry of Education
2026-04-07,55.0,Ministry of Education
2026-04-07,1101.58,Ministry of Education
2026-04-10,339.59,Ministry of Education
2026-04-11,54.35,Ministry of Education
2026-04-14,676.0,Ministry of Education
2026-05-06,375.0,Ministry of Education
